date,hour,temperature_c
2025-12-11,0,16.75
2025-12-11,1,16.049999999999997
2025-12-11,2,15.45
2025-12-11,3,15.05
2025-12-11,4,14.649999999999999
2025-12-11,5,14.4
2025-12-11,6,14.2
2025-12-11,7,15.3
2025-12-11,8,19.15
2025-12-11,9,22.55
2025-12-11,10,24.85
2025-12-11,11,26.55
2025-12-11,12,27.700000000000003
2025-12-11,13,28.4
2025-12-11,14,28.55
2025-12-11,15,28.2
2025-12-11,16,27.25
2025-12-11,17,24.6
2025-12-11,18,22.1
2025-12-11,19,20.5
2025-12-11,20,19.1
2025-12-11,21,18.15
2025-12-11,22,17.35
2025-12-11,23,16.45
